mol,stage,r_no,donor,acceptor,e2_kcal,de_au,f_au
mol_002_E,nbo,1.6119,BD ( 1) C 1 - O 2,RY*( 1) C 3,0.9,2.27,0.04
mol_002_E,nbo,1.6119,BD ( 1) C 1 - O 2,RY*( 2) C 3,1.98,2.73,0.066
mol_002_E,nbo,1.6119,BD ( 1) C 1 - O 2,BD*( 1) C 3 - C 4,3.27,1.53,0.063
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 14,RY*( 1) O 2,0.52,1.4,0.024
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 14,RY*( 3) O 2,0.76,2.02,0.035
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 14,BD*( 1) O 2 - C 3,4.05,1.09,0.06
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 15,RY*( 2) O 2,0.74,1.45,0.029
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 15,BD*( 1) C 1 - O 2,0.6,0.99,0.022
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 16,RY*( 2) O 2,0.74,1.45,0.029
mol_002_E,nbo,1.6119,BD ( 1) C 1 - H 16,BD*( 1) C 1 - O 2,0.6,0.99,0.022
mol_002_E,nbo,1.6119,BD ( 1) O 2 - C 3,RY*( 3) C 1,1.6,1.98,0.05
mol_002_E,nbo,1.6119,BD ( 1) O 2 - C 3,RY*( 1) C 4,0.83,2.36,0.04
mol_002_E,nbo,1.6119,BD ( 1) O 2 - C 3,BD*( 1) C 3 - C 4,0.67,1.66,0.03
mol_002_E,nbo,1.6119,BD ( 1) O 2 - C 3,BD*( 1) C 3 - C 8,0.88,1.68,0.035
mol_002_E,nbo,1.6119,BD ( 1) O 2 - C 3,BD*( 1) C 4 - C 5,1.2,1.74,0.041
mol_002_E,nbo,1.6119,BD ( 1) O 2 - C 3,BD*( 1) C 7 - C 8,1.0,1.72,0.037
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,RY*( 1) O 2,1.33,1.59,0.041
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,RY*( 1) C 5,0.58,2.01,0.031
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,RY*( 2) C 5,2.01,2.04,0.058
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,RY*( 2) C 8,1.41,2.32,0.051
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) C 1 - O 2,4.24,1.17,0.063
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) O 2 - C 3,0.71,1.28,0.027
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) C 3 - C 8,3.57,1.42,0.064
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) C 4 - C 5,2.85,1.48,0.058
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) C 4 - H 17,0.82,1.31,0.029
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) C 5 - H 18,2.78,1.3,0.054
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 4,BD*( 1) C 8 - H 19,2.67,1.3,0.053
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,RY*( 1) O 2,0.91,1.61,0.034
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,RY*( 1) C 4,1.45,2.13,0.05
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,RY*( 2) C 4,0.64,2.05,0.032
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,RY*( 1) C 7,1.07,2.34,0.045
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,RY*( 2) C 7,1.17,2.22,0.046
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,BD*( 1) O 2 - C 3,0.57,1.3,0.024
mol_002_E,nbo,1.6119,BD ( 1) C 3 - C 8,BD*( 1) C 3 - C 4,3.62,1.42,0.064
